,Cluster Labels,Neighborhood,Borough,1st Common,2nd Common,3rd Common,4th Common,5th Common,6th Common,7th Common,8th Common,9th Common,10th Common,Latitude,Longitude
37,16,Don Mills North,North York,Japanese Restaurant,Gym / Fitness Center,Caribbean Restaurant,Café,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.7459058,-79.352188
38,6,Don Mills South,North York,Gym,Coffee Shop,Asian Restaurant,Beer Store,Dim Sum Restaurant,Supermarket,Italian Restaurant,Restaurant,Discount Store,Sporting Goods Shop,43.72589970000001,-79.340923
39,21,Dorset Park,Scarborough,Indian Restaurant,Pet Store,Vietnamese Restaurant,Latin American Restaurant,Chinese Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Dog Run,43.7574096,-79.27330400000002
40,16,Dovercourt Village,West Toronto,Pharmacy,Supermarket,Bakery,Art Gallery,Café,Middle Eastern Restaurant,Bar,Bank,Brewery,Music Venue,43.66900510000001,-79.4422593
41,11,Downsview,North York,Basketball Court,Bakery,Park,Construction & Landscaping,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,43.71375620000001,-79.4900738
42,1,Downsview Central,North York,Food Truck,Baseball Field,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Eastern European Restaurant,Diner,43.7284964,-79.49569740000003
43,18,Downsview East,North York,Airport,Park,Yoga Studio,Eastern European Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,43.7374732,-79.46476329999999
44,6,Downsview North,North York,Coffee Shop,Pet Store,Fast Food Restaurant,Sushi Restaurant,Deli / Bodega,Middle Eastern Restaurant,Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Diner,43.7543283,-79.4422593
45,17,Downsview Northwest,North York,Discount Store,Athletics & Sports,Grocery Store,Liquor Store,Yoga Studio,Dumpling Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.7616313,-79.52099940000002
46,0,Downsview West,North York,Shopping Mall,Park,Grocery Store,Bank,Hotel,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,43.7390146,-79.5069436
47,16,Dufferin,West Toronto,Pharmacy,Supermarket,Bakery,Art Gallery,Café,Middle Eastern Restaurant,Bar,Bank,Brewery,Music Venue,43.66900510000001,-79.4422593
48,15,East Birchmount Park,Scarborough,Discount Store,Department Store,Hobby Shop,Coffee Shop,Convenience Store,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.7279292,-79.26202940000002
49,0,East Toronto,East York,Park,Coffee Shop,Convenience Store,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.685347,-79.3381065
50,12,Emery,North York,Paper / Office Supplies Store,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.7247659,-79.53224240000002
51,16,Eringate,Etobicoke,Pharmacy,Beer Store,Pizza Place,Coffee Shop,Convenience Store,Café,Shopping Plaza,Liquor Store,Park,General Travel,43.6435152,-79.57720079999999
52,16,Exhibition Place,West Toronto,Coffee Shop,Breakfast Spot,Café,Performing Arts Venue,Yoga Studio,Stadium,Burrito Place,Restaurant,Caribbean Restaurant,Climbing Gym,43.6368472,-79.42819140000002
53,6,Fairview,North York,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Toy / Game Store,Bakery,Shoe Store,Women's Store,Burger Joint,Restaurant,43.7785175,-79.3465557
54,6,First Canadian Place,Downtown Toronto,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Burger Joint,Seafood Restaurant,Deli / Bodega,Steakhouse,Asian Restaurant,43.6484292,-79.3822802
55,6,Flemingdon Park,North York,Gym,Coffee Shop,Asian Restaurant,Beer Store,Dim Sum Restaurant,Supermarket,Italian Restaurant,Restaurant,Discount Store,Sporting Goods Shop,43.72589970000001,-79.340923
56,0,Forest Hill North,Central Toronto,Park,Sushi Restaurant,Jewelry Store,Trail,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop,43.6969476,-79.41130720000002
57,14,Forest Hill SE,Central Toronto,Coffee Shop,Pub,American Restaurant,Bagel Shop,Restaurant,Fried Chicken Joint,Sports Bar,Supermarket,Sushi Restaurant,Pizza Place,43.68641229999999,-79.4000493
58,0,Forest Hill West,Central Toronto,Park,Sushi Restaurant,Jewelry Store,Trail,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop,43.6969476,-79.41130720000002
59,6,Garden District,Downtown Toronto,Coffee Shop,Clothing Store,Cosmetics Shop,Café,Japanese Restaurant,Theater,Italian Restaurant,Bakery,Fast Food Restaurant,Sporting Goods Shop,43.6571618,-79.37893709999999
60,0,Glencairn,North York,Pub,Pizza Place,Park,Japanese Restaurant,Sushi Restaurant,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant,43.709577,-79.44507259999997
61,11,Golden Mile,Scarborough,Bakery,Fast Food Restaurant,Metro Station,Bus Line,Soccer Field,Park,Concert Hall,Dog Run,Falafel Restaurant,Event Space,43.7111117,-79.2845772
62,16,Grange Park,Downtown Toronto,Café,Vegetarian / Vegan Restaurant,Chinese Restaurant,Bar,Dumpling Restaurant,Mexican Restaurant,Vietnamese Restaurant,Bakery,Coffee Shop,Farmers Market,43.6532057,-79.4000493
63,16,Guildwood,Scarborough,Pizza Place,Breakfast Spot,Medical Center,Electronics Store,Rental Car Location,Intersection,Mexican Restaurant,Yoga Studio,Doner Restaurant,Diner,43.7635726,-79.1887115
64,16,Harbord,Downtown Toronto,Café,Bakery,Bar,Japanese Restaurant,Bookstore,Sandwich Place,Restaurant,Poutine Place,Beer Bar,Beer Store,43.6626956,-79.4000493
65,6,Harbourfront,Downtown Toronto,Coffee Shop,Park,Café,Pub,Bakery,Mexican Restaurant,Breakfast Spot,Restaurant,Gym / Fitness Center,Theater,43.6542599,-79.3606359
66,6,Harbourfront East,Downtown Toronto,Coffee Shop,Hotel,Aquarium,Café,Fried Chicken Joint,Brewery,Scenic Lookout,Baseball Stadium,Sporting Goods Shop,Bakery,43.6408157,-79.38175229999997
67,13,Harbourfront West,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.6289467,-79.3944199
68,6,Henry Farm,North York,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Toy / Game Store,Bakery,Shoe Store,Women's Store,Burger Joint,Restaurant,43.7785175,-79.3465557
69,16,High Park,West Toronto,Bar,Café,Mexican Restaurant,Park,Arts & Crafts Store,Discount Store,Bakery,Cajun / Creole Restaurant,Fried Chicken Joint,Furniture / Home Store,43.6616083,-79.46476329999999
70,10,Highland Creek,Scarborough,Golf Course,Bar,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio,43.7845351,-79.16049709999999
71,16,Hillcrest Village,North York,Mediterranean Restaurant,Dog Run,Pool,Golf Course,Yoga Studio,Drugstore,Diner,Discount Store,Doner Restaurant,Donut Shop,43.8037622,-79.3634517
72,1,Humber Bay,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6362579,-79.49850909999998
73,16,Humber Bay Shores,Etobicoke,Pet Store,Bakery,Fried Chicken Joint,Fast Food Restaurant,Liquor Store,Mexican Restaurant,Pharmacy,Pizza Place,Coffee Shop,Restaurant,43.6056466,-79.50132070000002
74,22,Humber Summit,North York,Pizza Place,Empanada Restaurant,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,43.7563033,-79.56596329999998
75,17,Humbergate,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.7394164,-79.5884369
76,12,Humberlea,North York,Paper / Office Supplies Store,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.7247659,-79.53224240000002
77,16,Humewood-Cedarvale,York,Trail,Playground,Field,Hockey Arena,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,43.6937813,-79.42819140000002
78,16,India Bazaar,East Toronto,Park,Sandwich Place,Gym,Brewery,Food & Drink Shop,Italian Restaurant,Steakhouse,Fish & Chips Shop,Fast Food Restaurant,Burrito Place,43.6689985,-79.31557159999998
79,15,Ionview,Scarborough,Discount Store,Department Store,Hobby Shop,Coffee Shop,Convenience Store,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.7279292,-79.26202940000002
80,13,Island airport,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.6289467,-79.3944199
81,2,Islington,Etobicoke,Bank,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Electronics Store,Diner,43.6509432,-79.55472440000001
82,17,Jamestown,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.7394164,-79.5884369
83,20,Keelesdale,York,Discount Store,Restaurant,Sandwich Place,Bar,Convenience Store,Yoga Studio,Drugstore,Dog Run,Doner Restaurant,Donut Shop,43.6911158,-79.47601329999998
84,15,Kennedy Park,Scarborough,Discount Store,Department Store,Hobby Shop,Coffee Shop,Convenience Store,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.7279292,-79.26202940000002
85,16,Kensington Market,Downtown Toronto,Café,Vegetarian / Vegan Restaurant,Chinese Restaurant,Bar,Dumpling Restaurant,Mexican Restaurant,Vietnamese Restaurant,Bakery,Coffee Shop,Farmers Market,43.6532057,-79.4000493
86,6,King,Downtown Toronto,Coffee Shop,Café,Bar,Steakhouse,Cosmetics Shop,Thai Restaurant,Burger Joint,Restaurant,Hotel,American Restaurant,43.65057120000001,-79.3845675
87,13,King and Spadina,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.6289467,-79.3944199
88,1,King's Mill Park,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6362579,-79.49850909999998
89,3,Kingsview Village,Etobicoke,Pizza Place,Park,Mobile Phone Shop,Bus Line,Donut Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore,43.6889054,-79.55472440000001
90,1,Kingsway Park South East,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6362579,-79.49850909999998
91,16,Kingsway Park South West,Etobicoke,Bakery,Burrito Place,Wings Joint,Hardware Store,Gym,Grocery Store,Discount Store,Fast Food Restaurant,Flower Shop,Tanning Salon,43.6288408,-79.52099940000002
92,8,L'Amoreaux East,Scarborough,Playground,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.8152522,-79.2845772
93,17,L'Amoreaux West,Scarborough,Fast Food Restaurant,Chinese Restaurant,Pharmacy,Coffee Shop,Sandwich Place,Nail Salon,Breakfast Spot,Pizza Place,Grocery Store,Gym,43.79952520000001,-79.3183887
94,6,Lawrence Heights,North York,Clothing Store,Furniture / Home Store,Accessories Store,Miscellaneous Shop,Boutique,Vietnamese Restaurant,Coffee Shop,Arts & Crafts Store,Discount Store,Dog Run,43.718518,-79.46476329999999
95,6,Lawrence Manor,North York,Clothing Store,Furniture / Home Store,Accessories Store,Miscellaneous Shop,Boutique,Vietnamese Restaurant,Coffee Shop,Arts & Crafts Store,Discount Store,Dog Run,43.718518,-79.46476329999999
96,6,Lawrence Manor East,North York,Coffee Shop,Italian Restaurant,Greek Restaurant,Indian Restaurant,Grocery Store,Pharmacy,Pizza Place,Pub,Café,Restaurant,43.7332825,-79.4197497
97,3,Lawrence Park,Central Toronto,Park,Swim School,Bus Line,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,43.7280205,-79.3887901
98,6,Leaside,East York,Coffee Shop,Sporting Goods Shop,Furniture / Home Store,Burger Joint,Clothing Store,Restaurant,Beer Store,Bike Shop,Smoothie Shop,Shopping Mall,43.7090604,-79.3634517
99,6,Little Portugal,West Toronto,Bar,Coffee Shop,Asian Restaurant,Café,French Restaurant,Vietnamese Restaurant,Restaurant,Men's Store,Vegetarian / Vegan Restaurant,New American Restaurant,43.647926700000006,-79.4197497
100,16,Long Branch,Etobicoke,Pizza Place,Pharmacy,Coffee Shop,Sandwich Place,Pub,Skating Rink,Pool,Gym,Eastern European Restaurant,Dumpling Restaurant,43.60241370000001,-79.54348409999999
101,5,Malvern,Scarborough,Fast Food Restaurant,Print Shop,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio,43.8066863,-79.19435340000003
102,16,Markland Wood,Etobicoke,Pharmacy,Beer Store,Pizza Place,Coffee Shop,Convenience Store,Café,Shopping Plaza,Liquor Store,Park,General Travel,43.6435152,-79.57720079999999
103,2,Martin Grove,Etobicoke,Bank,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Electronics Store,Diner,43.6509432,-79.55472440000001
104,3,Martin Grove Gardens,Etobicoke,Pizza Place,Park,Mobile Phone Shop,Bus Line,Donut Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore,43.6889054,-79.55472440000001
105,16,Maryvale,Scarborough,Middle Eastern Restaurant,Breakfast Spot,Smoke Shop,Auto Garage,Bakery,Sandwich Place,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,43.7500715,-79.2958491
106,8,Milliken,Scarborough,Playground,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.8152522,-79.2845772
107,1,Mimico NE,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6362579,-79.49850909999998
108,16,Mimico NW,Etobicoke,Bakery,Burrito Place,Wings Joint,Hardware Store,Gym,Grocery Store,Discount Store,Fast Food Restaurant,Flower Shop,Tanning Salon,43.6288408,-79.52099940000002
109,16,Mimico South,Etobicoke,Pet Store,Bakery,Fried Chicken Joint,Fast Food Restaurant,Liquor Store,Mexican Restaurant,Pharmacy,Pizza Place,Coffee Shop,Restaurant,43.6056466,-79.50132070000002
110,19,Montgomery Road,Etobicoke,Park,River,Pool,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.65365360000001,-79.5069436
111,23,Moore Park,Central Toronto,Playground,Gym,Restaurant,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.6895743,-79.38315990000002
112,16,Morningside,Scarborough,Pizza Place,Breakfast Spot,Medical Center,Electronics Store,Rental Car Location,Intersection,Mexican Restaurant,Yoga Studio,Doner Restaurant,Diner,43.7635726,-79.1887115
113,20,Mount Dennis,York,Discount Store,Restaurant,Sandwich Place,Bar,Convenience Store,Yoga Studio,Drugstore,Dog Run,Doner Restaurant,Donut Shop,43.6911158,-79.47601329999998
114,17,Mount Olive,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.7394164,-79.5884369
115,16,New Toronto,Etobicoke,Pet Store,Bakery,Fried Chicken Joint,Fast Food Restaurant,Liquor Store,Mexican Restaurant,Pharmacy,Pizza Place,Coffee Shop,Restaurant,43.6056466,-79.50132070000002
116,9,Newtonbrook,North York,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.789053,-79.40849279999998
117,6,North Midtown,Central Toronto,Sandwich Place,Café,Coffee Shop,Pizza Place,Liquor Store,Burger Joint,Jewish Restaurant,Indian Restaurant,Pub,Cosmetics Shop,43.6727097,-79.40567840000001
118,11,North Park,North York,Basketball Court,Bakery,Park,Construction & Landscaping,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,43.71375620000001,-79.4900738
119,6,North Toronto West,Central Toronto,Clothing Store,Coffee Shop,Sporting Goods Shop,Yoga Studio,Metro Station,Salon / Barbershop,Restaurant,Rental Car Location,Park,Mexican Restaurant,43.7153834,-79.40567840000001
120,24,Northwest,Etobicoke,Drugstore,Rental Car Location,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Dessert Shop,43.7067483,-79.5940544
121,6,Northwood Park,North York,Furniture / Home Store,Coffee Shop,Massage Studio,Metro Station,Bar,Caribbean Restaurant,Falafel Restaurant,Cosmetics Shop,Dog Run,Comic Shop,43.7679803,-79.48726190000002
122,11,Oakridge,Scarborough,Bakery,Fast Food Restaurant,Metro Station,Bus Line,Soccer Field,Park,Concert Hall,Dog Run,Falafel Restaurant,Event Space,43.7111117,-79.2845772
123,16,Old Burnhamthorpe,Etobicoke,Pharmacy,Beer Store,Pizza Place,Coffee Shop,Convenience Store,Café,Shopping Plaza,Liquor Store,Park,General Travel,43.6435152,-79.57720079999999
124,19,Old Mill North,Etobicoke,Park,River,Pool,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.65365360000001,-79.5069436
125,1,Old Mill South,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6362579,-79.49850909999998
126,6,Oriole,North York,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Toy / Game Store,Bakery,Shoe Store,Women's Store,Burger Joint,Restaurant,43.7785175,-79.3465557
127,16,Parkdale,West Toronto,Breakfast Spot,Gift Shop,Dessert Shop,Eastern European Restaurant,Dog Run,Bar,Bank,Italian Restaurant,Restaurant,Movie Theater,43.6489597,-79.456325
128,16,Parkdale Village,West Toronto,Coffee Shop,Breakfast Spot,Café,Performing Arts Venue,Yoga Studio,Stadium,Burrito Place,Restaurant,Caribbean Restaurant,Climbing Gym,43.6368472,-79.42819140000002
129,16,Parkview Hill,East York,Pizza Place,Fast Food Restaurant,Pharmacy,Gastropub,Café,Bank,Intersection,Athletics & Sports,Pet Store,Gym / Fitness Center,43.7063972,-79.309937
130,0,Parkwoods,North York,Food & Drink Shop,Park,Bus Stop,BBQ Joint,Yoga Studio,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.7532586,-79.3296565
131,10,Port Union,Scarborough,Golf Course,Bar,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio,43.7845351,-79.16049709999999
132,2,Princess Gardens,Etobicoke,Bank,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Electronics Store,Diner,43.6509432,-79.55472440000001
